sample,row,parameter_index,parameter,fortran,python_fd,abs_error
seed,1,2,W_a0,1.0762226058186247e-16,1.0762226083293762e-16,2.510751483434767e-25
seed,2,2,W_a0,3.0880327173314073,3.088032687070933,3.026047412646449e-08
seed,3,2,W_a0,-3.135196980847e-11,-1.1080105117017283e-10,7.944908136170283e-11
seed,1,1,z_W0,0.0,0.0,0.0
seed,2,1,z_W0,0.0,0.0,0.0
seed,3,1,z_W0,0.0,0.0,0.0
seed,1,4,H_a3,0.0,0.0,0.0
seed,2,4,H_a3,0.0,0.0,0.0
seed,3,4,H_a3,1960.1235753670192,1960.1235565060556,1.8860963564293343e-05
tangent_predictor_W0p601,1,2,W_a0,1.0749510922782497e-16,2.40789044927776e-14,2.3971409383549776e-14
tangent_predictor_W0p601,2,2,W_a0,3.0837331271870148,3.0837331133999264,1.378708835986231e-08
tangent_predictor_W0p601,3,2,W_a0,-1.1081330174423505e-06,-1.1081789967799338e-06,4.5979337583315985e-11
tangent_predictor_W0p601,1,1,z_W0,0.0,0.0,0.0
tangent_predictor_W0p601,2,1,z_W0,0.0,0.0,0.0
tangent_predictor_W0p601,3,1,z_W0,0.0,0.0,0.0
tangent_predictor_W0p601,1,4,H_a3,0.0,0.0,0.0
tangent_predictor_W0p601,2,4,H_a3,0.0,0.0,0.0
tangent_predictor_W0p601,3,4,H_a3,1957.4485544492338,1957.4486120007468,5.755151300945727e-05
task012_probe_W0p5,1,2,W_a0,1.2215118722143678e-16,-2.4430237331874677e-16,3.6645356054018357e-16
task012_probe_W0p5,2,2,W_a0,3.605999298680632,3.605999269463384,2.921724817639415e-08
task012_probe_W0p5,3,2,W_a0,7.58681591672396e-09,-2.2805442341996617e-10,7.814870340143926e-09
task012_probe_W0p5,1,1,z_W0,0.0,0.0,0.0
task012_probe_W0p5,2,1,z_W0,0.0,0.0,0.0
task012_probe_W0p5,3,1,z_W0,0.0,0.0,0.0
task012_probe_W0p5,1,4,H_a3,0.0,0.0,0.0
task012_probe_W0p5,2,4,H_a3,0.0,0.0,0.0
task012_probe_W0p5,3,4,H_a3,2281.952831183564,2281.952735946467,9.523709695713478e-05
task012_probe_W0p7,1,2,W_a0,9.625845065747869e-17,-4.812922531361501e-17,1.443876759710937e-16
task012_probe_W0p7,2,2,W_a0,2.719933449032673,2.7199334655609206,1.6528247659408635e-08
task012_probe_W0p7,3,2,W_a0,1.5736496693197676e-09,-1.649818830834874e-10,1.738631552403255e-09
task012_probe_W0p7,1,1,z_W0,0.0,0.0,0.0
task012_probe_W0p7,2,1,z_W0,0.0,0.0,0.0
task012_probe_W0p7,3,1,z_W0,0.0,0.0,0.0
task012_probe_W0p7,1,4,H_a3,0.0,0.0,0.0
task012_probe_W0p7,2,4,H_a3,0.0,0.0,0.0
task012_probe_W0p7,3,4,H_a3,1730.9860021551842,1730.9860126333267,1.0478142485226272e-05
task012_probe_W1p0,1,2,W_a0,7.274778158423905e-17,-3.6373890747499584e-16,4.364866890592349e-16
task012_probe_W1p0,2,2,W_a0,2.059256883302623,2.0592568795808672,3.7217557924407174e-09
task012_probe_W1p0,3,2,W_a0,-8.79123429142845e-09,-7.536987818389612e-11,8.715864413244553e-09
task012_probe_W1p0,1,1,z_W0,0.0,0.0,0.0
task012_probe_W1p0,2,1,z_W0,0.0,0.0,0.0
task012_probe_W1p0,3,1,z_W0,0.0,0.0,0.0
task012_probe_W1p0,1,4,H_a3,0.0,0.0,0.0
task012_probe_W1p0,2,4,H_a3,0.0,0.0,0.0
task012_probe_W1p0,3,4,H_a3,1320.4378183153012,1320.4378160643546,2.2509466361952946e-06
