sample,row,column,state,fortran,python_fd,abs_error
seed,1,1,Z_scaled,-0.49999375318425954,-0.4999937502952964,2.8889631242812186e-09
seed,1,2,U_scaled,-0.9999875058926052,-0.9999875001146791,5.777926137540135e-09
seed,1,3,M_log_ratio,-2.745313214425717e-16,-2.7453132054055856e-16,9.020131413136507e-25
seed,2,1,Z_scaled,-0.00396390300118663,-0.003963902731579126,2.696075038569057e-10
seed,2,2,U_scaled,0.0,0.0,0.0
seed,2,3,M_log_ratio,-1.0000000422363802,-0.9999999992120044,4.302437572878404e-08
seed,3,1,Z_scaled,7.031843156214993,7.0318430883895715,6.782542172345529e-08
seed,3,2,U_scaled,0.0,0.0,0.0
seed,3,3,M_log_ratio,-0.9975245615455324,-0.9975245521507328,9.394799604933723e-09
tangent_predictor_W0p601,1,1,Z_scaled,-0.49916123328589723,-0.4991612319477186,1.3381786234667459e-09
tangent_predictor_W0p601,1,2,U_scaled,-0.9983224660972443,-0.9983224634807382,2.6165061228766717e-09
tangent_predictor_W0p601,1,3,M_log_ratio,-2.740279696683253e-16,-6.13822651168949e-14,6.110823714722657e-14
tangent_predictor_W0p601,2,1,Z_scaled,-0.003969900157826987,-0.003969900030349528,1.274774591442096e-10
tangent_predictor_W0p601,2,2,U_scaled,0.0,0.0,0.0
tangent_predictor_W0p601,2,3,M_log_ratio,-0.999830136698166,-0.9998301170065614,1.969160456916086e-08
tangent_predictor_W0p601,3,1,Z_scaled,7.019596405303102,7.019596361143207,4.415989529604758e-08
tangent_predictor_W0p601,3,2,U_scaled,0.0,0.0,0.0
tangent_predictor_W0p601,3,3,M_log_ratio,-0.9975528566975449,-0.9975528525789168,4.118628105231892e-09
task012_probe_W0p5,1,1,Z_scaled,-0.5999923494480564,-0.5999923443635005,5.084555887435727e-09
task012_probe_W0p5,1,2,U_scaled,-1.1999846982466078,-1.199984688034865,1.0211742784704825e-08
task012_probe_W0p5,1,3,M_log_ratio,-3.34908306670218e-16,6.698166074880741e-16,1.0047249141582921e-15
task012_probe_W0p5,2,1,Z_scaled,-0.0033731397246462157,-0.0033731397012020845,2.344413118499089e-11
task012_probe_W0p5,2,2,U_scaled,0.0,0.0,0.0
task012_probe_W0p5,2,3,M_log_ratio,-1.0166062465634569,-1.0166062376810618,8.882395041709401e-09
task012_probe_W0p5,3,1,Z_scaled,8.499144808421224,8.49914472091718,8.750404489887842e-08
task012_probe_W0p5,3,2,U_scaled,0.0,0.0,0.0
task012_probe_W0p5,3,3,M_log_ratio,-1.002901360464871,-1.0029013447274135,1.573745755933942e-08
task012_probe_W0p7,1,1,Z_scaled,-0.42856618748711933,-0.42856618929883233,1.8117130018424632e-09
task012_probe_W0p7,1,2,U_scaled,-0.8571323746102185,-0.8571323782031929,3.5929743624762978e-09
task012_probe_W0p7,1,3,M_log_ratio,-2.3130185469905306e-16,1.1565092769268102e-16,3.469527823917341e-16
task012_probe_W0p7,2,1,Z_scaled,-0.004570239299471855,-0.004570239434275606,1.3480375149477197e-10
task012_probe_W0p7,2,2,U_scaled,0.0,0.0,0.0
task012_probe_W0p7,2,3,M_log_ratio,-0.982955818944399,-0.9829558386008376,1.9656438587922764e-08
task012_probe_W0p7,3,1,Z_scaled,5.977361110276645,5.977364705822516,3.595545870815897e-06
task012_probe_W0p7,3,2,U_scaled,0.0,0.0,0.0
task012_probe_W0p7,3,3,M_log_ratio,-1.0074709234535641,-1.0074709248551146,1.401550431268106e-09
task012_probe_W1p0,1,1,Z_scaled,-0.29999662203701416,-0.29999662145892536,5.78088799052523e-10
task012_probe_W1p0,1,2,U_scaled,-0.5999932438828249,-0.5999932427053313,1.177493658133244e-09
task012_probe_W1p0,1,3,M_log_ratio,-1.5338442329555524e-16,7.669221148901937e-16,9.203065381857489e-16
task012_probe_W1p0,2,1,Z_scaled,-0.0064117738265413475,-0.006411773814819283,1.1722064291452838e-11
task012_probe_W1p0,2,2,U_scaled,0.0,0.0,0.0
task012_probe_W1p0,2,3,M_log_ratio,-0.9311895808045699,-0.9311895788762901,1.9282798691122593e-09
task012_probe_W1p0,3,1,Z_scaled,4.028583650279945,4.028586352054722,2.70177477723621e-06
task012_probe_W1p0,3,2,U_scaled,0.0,0.0,0.0
task012_probe_W1p0,3,3,M_log_ratio,-1.1062188814190874,-1.1062188963540354,1.493494794502226e-08
