run,point,label,type,z_W0_m,z_m,u_m_s,m_kg,raw_restricted_residual_norm,scaled_restricted_residual_norm,full_rhs_norm,full_stable_eigenvalue_count,full_critical_real_s_inv,full_critical_imag_s_inv
z-minus,1,1,EP,9000.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09,7.999635704081243e-06,1.3197271611495392e-06,7.99963571118667e-06,4,-7.056056700532419e-06,0.00017121313290189395
z-minus,11,3,UZ,8750.0000035,9618.027532132897,1.909862339335516,1.0802293824589576e-09,2.2419720199163155e-14,3.6641870120090196e-10,2.3513994777040108e-14,4,-7.060308591524164e-06,0.00017121305563338972
z-minus,16,4,UZ,8499.9999785,9618.027532258231,1.909862338708844,1.0802293919945608e-09,7.47191627838056e-15,5.483494432737486e-11,8.080276574509447e-15,4,-7.060337248303376e-06,0.00017121305455269963
z-minus,26,6,UZ,7999.9999285,9618.027532257483,1.9098623387125848,1.0802293920593134e-09,5.040792976158394e-14,2.962350735759814e-10,4.770488825167442e-14,4,-7.0603374428743735e-06,0.00017121305453516816
z-minus,36,8,UZ,7499.9998785,9618.027532270075,1.9098623386496274,1.0802293920587776e-09,1.4402987050321793e-14,3.1057027541521233e-10,1.4397424507770195e-14,4,-7.0603374422772975e-06,0.00017121305451955936
z-minus,46,10,UZ,6999.9998285,9618.027532257462,1.9098623387126912,1.0802293920593192e-09,2.434407811871105e-14,2.995955030359401e-10,2.434101596609031e-14,4,-7.060337442753202e-06,0.00017121305454807198
z-minus,451,0,regular,-13250.002197000002,9618.027532257855,1.9098623387107225,1.0802293920593018e-09,8.473974618326874e-14,2.060494058741413e-10,8.218740278896395e-14,4,-7.0603374426714736e-06,0.00017121305500162375
z-minus,900,96,EP,-35700.004442,9618.027532255132,1.9098623387243394,1.0802293920594157e-09,3.286950757364768e-14,8.618017855471269e-10,3.265806446240924e-14,4,-7.060337442516346e-06,0.00017121305454085518
z-plus,1,1,EP,9000.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09,7.999635704081243e-06,1.3197271611495392e-06,7.99963571118667e-06,4,-7.056056700532419e-06,0.00017121313290189395
z-plus,11,3,UZ,9250.00000073,9618.024756085693,1.9098762195715333,1.080017999597944e-09,1.6423594938546452e-14,7.655743954553792e-10,1.295325421523166e-14,4,-6.425206810862671e-06,0.00017123610663976422
z-plus,12,0,regular,9299.99996603,9618.019989487964,1.9099000525601795,1.0796550859113379e-09,2.702268760303685e-13,6.117387100854692e-10,2.6312622564551037e-13,4,-5.335597318282786e-06,0.00017127016493460165
z-plus,17,4,UZ,9500.00000217,9617.631724963247,1.9118413751837224,1.0502688482212304e-09,7.653051305592476e-12,4.932326128666521e-11,7.658352830024212e-12,2,7.973239700710472e-05,0.00015139691968441991
z-plus,22,0,regular,9710.18590267,9609.105389762835,1.9544730511853223,4.991492151855509e-10,1.5044889091649627e-10,1.0364957115808848e-09,1.5045951077392122e-10,2,0.0017040338584256574,0.0
