z_offset_m,z_m,piecewise_W_a_m_s,smoothed_W_a_m_s,updraft_difference_m_s
-600.0,8400.0,0.0,0.0002469540944252716,0.0002469540944252716
-500.0,8500.0,0.0,0.001810452901859287,0.001810452901859287
-400.0,8600.0,0.0,0.01265926046700767,0.01265926046700767
-300.0,8700.0,0.0,0.06906714954222148,0.06906714954222148
-200.0,8800.0,0.19999999999999998,0.21087780831251626,0.01087780831251628
-100.0,8900.0,0.39999999999999997,0.3891221916874837,-0.01087780831251628
0.0,9000.0,0.6,0.5309328504577784,-0.0690671495422216
100.0,9100.0,0.6,0.5873407395329924,-0.012659260467007605
200.0,9200.0,0.6,0.5981895470981407,-0.0018104529018593274
300.0,9300.0,0.6,0.5997530459055747,-0.00024695409442532235
400.0,9400.0,0.6,0.5999665425155477,-3.345748445227059e-05
500.0,9500.0,0.6,0.599995471363595,-4.528636404987907e-06
600.0,9600.0,0.6,0.5999993871036501,-6.128963498941431e-07
700.0,9700.0,0.6,0.599999917053278,-8.294672193542851e-08
800.0,9800.0,0.6,0.599999988774378,-1.122562198752064e-08
900.0,9900.0,0.6,0.5999999984807771,-1.5192228586258238e-09
