W_a0,reachable,full_z_m,full_u_m_s,full_w_m_s,full_m_kg,full_physical_residual_norm,full_scaled_residual_norm,full_critical_real_s_inv,full_critical_imag_s_inv,full_branch_jacobian_condition,nearest_accepted_W_a0_m_s,nearest_abs_delta_W_a0_m_s
0.1,True,9596.486140968927,2.017569295155368,3.6006125477705625e-31,5.837132376564397e-11,6.531700939885251e-13,2.507885553672946e-07,-1.4169999136030565e-06,0.0001918232603711382,14757.020354034239,0.09999999999999998,2.7755575615628914e-17
0.2,True,9601.280436532808,1.993597817335954,-5.360254239749631e-34,1.7066957198626076e-10,2.9435675262108006e-13,2.0768503069508e-07,-1.8656589366461094e-06,0.00018846477568114893,6653.539914370425,0.2,0.0
0.3,True,9605.528692291842,1.9723565385407882,-2.5709919673953208e-30,3.2670000858574073e-10,6.553311526457964e-14,6.911096538671275e-08,-2.7009884588334392e-06,0.0001843729221711085,4179.567061004826,0.3,0.0
0.4,True,9609.626417141502,1.9518679142924868,-8.93040549675632e-31,5.27312112602442e-10,4.90192679609533e-14,1.2216636208739466e-07,-3.861936273980673e-06,0.00018007733448140314,3035.5520023475046,0.4,0.0
0.5,True,9613.754088156957,1.9312295592152149,-2.120588047301484e-31,7.765038425628708e-10,6.534026264211182e-14,8.606407232192013e-08,-5.322826529118609e-06,0.00017568198658611645,2383.8544299190276,0.5,0.0
0.6,True,9618.02753226348,1.9098623386826004,1.2055135425083891e-29,1.0802293920590578e-09,5.4430107437348766e-14,4.3709595842723984e-08,-7.060337442082391e-06,0.00017121305505542376,1963.7402488105267,0.6,0.0
0.7,True,9622.539576203702,1.8873021189814947,1.0410290818339857e-29,1.4460766637418543e-09,9.656623016820227e-14,1.2444901721336865e-07,-9.049905566830904e-06,0.00016667230218637578,1670.273110914317,0.7,0.0
0.8,True,9627.376893467297,1.8631155326635154,-2.4998032771931385e-30,1.8832097722035667e-09,2.182932353479228e-14,7.41919640914426e-08,-1.1266244956899232e-05,0.0001620508928746694,1453.5082599851733,0.8,0.0
0.9,True,9632.62921231579,1.8368539384210563,2.1412270781050747e-25,2.4024216649355e-09,2.2060019748458847e-14,6.9105652079794e-10,-1.3684341784910793e-05,0.0001573341232992862,1286.7300513145694,0.9,0.0
1.0,True,9638.396041871685,1.8080197906415734,-5.045327454181284e-30,3.0162413983972354e-09,7.105427357601002e-15,2.1899090452215193e-08,-1.62802641301778e-05,0.00015250329182406016,1154.3740520774916,1.0,0.0
1.1,True,9644.793018741439,1.776034906292808,2.9269873282367644e-30,3.7390702655409904e-09,1.1898187687415717e-14,6.245687218395294e-08,-1.903170548650506e-05,0.00014753641352630847,1046.7720474050684,1.1,0.0
1.2,True,9651.95909482891,1.7402045258554553,-3.293343966484096e-31,4.587330469634201e-09,1.3187931704230982e-14,4.8746153836683185e-09,-2.191830630133943e-05,0.00014240832627750153,957.6183394456722,1.2,0.0
